Pclass,Sex,Age,SibSp,Parch,Cabin,Embarked,Survived
Class1,male,21To40,0SibSp,0Parch,E25,S,Yes
Class1,male,41To60,0SibSp,0Parch,D46,S,No
Class2,female,21To40,0SibSp,0Parch,F33,S,Yes
Class1,female,21To40,0SibSp,0Parch,B73,S,Yes
Class1,female,41To60,0SibSp,1Parch,B18,C,Yes
Class1,male,41To60,0SibSp,0Parch,B38,S,No
Class1,female,21To40,0SibSp,2Parch,B39,C,Yes
Class1,female,21To40,0SibSp,2Parch,B22,S,Yes
Class1,male,41To60,1SibSp,0Parch,C86,C,No
Class1,male,1To20,0SibSp,2Parch,C70,C,Yes
Class1,female,41To60,1SibSp,0Parch,A16,C,Yes
Class1,female,21To40,1SibSp,1Parch,E67,S,Yes
Class1,female,41To60,2SibSp,0Parch,C101,S,Yes
Class1,male,21To40,0SibSp,0Parch,E25,S,Yes
Class1,female,21To40,1SibSp,0Parch,E44,S,Yes
Class1,female,21To40,1SibSp,1Parch,C68,C,Yes
Class1,male,21To40,0SibSp,0Parch,A10,C,No
Class1,female,1To20,0SibSp,2Parch,E68,S,Yes
Class1,male,41To60,1SibSp,1Parch,B41,C,Yes
Class1,female,41To60,1SibSp,0Parch,D20,C,Yes
Class1,male,41To60,1SibSp,0Parch,A20,C,Yes
Class1,female,21To40,0SibSp,0Parch,C125,S,Yes
Class2,female,1To20,2SibSp,1Parch,F4,S,Yes
Class1,male,41To60,1SibSp,0Parch,D19,S,Yes
Class1,male,MoreThan60,0SibSp,0Parch,D50,S,No
Class1,female,21To40,0SibSp,0Parch,D9,S,Yes
Class1,male,MoreThan60,0SibSp,0Parch,A23,S,Yes
Class1,male,21To40,0SibSp,0Parch,B50,C,Yes
Class1,female,21To40,0SibSp,0Parch,B35,C,Yes
Class1,male,41To60,1SibSp,0Parch,D33,C,Yes
Class1,male,41To60,0SibSp,0Parch,A26,C,Yes
Class1,male,41To60,0SibSp,2Parch,D48,C,No
Class1,male,41To60,0SibSp,0Parch,E58,S,No
Class1,male,21To40,1SibSp,0Parch,B71,S,No
Class1,male,21To40,0SibSp,1Parch,B51 B53 B55,C,Yes
Class1,male,21To40,0SibSp,0Parch,D49,C,Yes
Class1,female,1To20,0SibSp,1Parch,B5,S,Yes
Class1,male,21To40,1SibSp,0Parch,B20,S,Yes
Class1,male,41To60,1SibSp,1Parch,C68,C,No
Class3,male,41To60,0SibSp,0Parch,F G63,S,No
Class1,female,1To20,1SibSp,0Parch,C62 C64,C,Yes
Class1,male,21To40,0SibSp,0Parch,E24,S,Yes
Class1,male,41To60,0SibSp,0Parch,E24,S,Yes
Class1,female,21To40,0SibSp,0Parch,C90,C,Yes
Class1,male,41To60,1SibSp,0Parch,C126,S,Yes
Class3,male,1To20,0SibSp,0Parch,F G73,S,No
Class1,female,21To40,0SibSp,0Parch,C45,C,Yes
Class2,female,21To40,0SibSp,0Parch,E101,S,Yes
Class1,male,21To40,1SibSp,0Parch,E8,S,Yes
Class1,female,21To40,0SibSp,0Parch,B5,S,Yes
Class1,male,21To40,0SibSp,0Parch,B101,C,Yes
Class1,male,21To40,1SibSp,0Parch,C46,S,No
Class1,female,21To40,2SibSp,2Parch,B57 B59 B63 B66,C,Yes
Class1,male,MoreThan60,1SibSp,1Parch,B22,S,No
Class1,male,1To20,1SibSp,0Parch,D30,S,No
Class3,male,1To20,0SibSp,1Parch,E121,S,Yes
Class1,female,21To40,0SibSp,0Parch,B77,S,Yes
Class1,female,21To40,1SibSp,2Parch,B96 B98,S,Yes
Class1,female,41To60,1SibSp,0Parch,D11,S,Yes
Class2,female,41To60,0SibSp,0Parch,E77,S,No
Class1,female,41To60,0SibSp,1Parch,B3,S,Yes
Class1,female,1To20,1SibSp,0Parch,B20,S,Yes
Class1,male,21To40,0SibSp,0Parch,D6,S,No
Class1,male,41To60,0SibSp,0Parch,B82 B84,C,No
Class1,female,41To60,0SibSp,0Parch,D17,S,Yes
Class1,male,1To20,1SibSp,2Parch,B96 B98,S,Yes
Class1,male,21To40,0SibSp,0Parch,A36,S,No
Class1,female,21To40,1SibSp,0Parch,E8,S,Yes
Class1,female,41To60,1SibSp,1Parch,B69,S,Yes
Class3,female,21To40,0SibSp,1Parch,E121,S,Yes
Class1,female,21To40,1SibSp,1Parch,E49,C,Yes
Class1,female,1To20,0SibSp,1Parch,D28,S,Yes
Class1,male,41To60,0SibSp,0Parch,E17,S,Yes
Class1,female,41To60,0SibSp,0Parch,D17,S,Yes
Class1,male,21To40,0SibSp,0Parch,A24,S,No
Class1,female,41To60,1SibSp,1Parch,D35,S,Yes
Class1,male,21To40,0SibSp,0Parch,B51 B53 B55,S,No
Class1,female,41To60,0SibSp,1Parch,C50,C,Yes
Class1,female,1To20,0SibSp,0Parch,B42,S,Yes
Class1,male,21To40,0SibSp,0Parch,C148,C,Yes
