Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Android Ver,,
ART_AND_DESIGN,3.8,2206,1.2M,"100,000+",Free,0,Everyone,Art & Design;Creativity,4.1 and up,,
ART_AND_DESIGN,4.2,26,12M,"10,000+",Free,0,Everyone,Art & Design,4.1 and up,,
ART_AND_DESIGN,4.7,174531,24M,"10,000,000+",Free,0,Everyone,Art & Design,4.1 and up,,
ART_AND_DESIGN,4.6,1070,26M,"100,000+",Free,0,Everyone,Art & Design,4.1 and up,,
ART_AND_DESIGN,4.2,85,8.0M,"100,000+",Free,0,Everyone,Art & Design,4.1 and up,,
ART_AND_DESIGN,4.3,845,7.9M,"100,000+",Free,0,Everyone,Art & Design,2.3 and up,,
AUTO_AND_VEHICLES,4.2,367,25M,"100,000+",Free,0,Everyone,Auto & Vehicles,4.0.3 and up,,
AUTO_AND_VEHICLES,4,1598,56M,"1,000,000+",Free,0,Everyone,Auto & Vehicles,4.1 and up,,
AUTO_AND_VEHICLES,3.8,284,57M,"100,000+",Free,0,Everyone,Auto & Vehicles,4.1 and up,,
AUTO_AND_VEHICLES,4.6,17057,Varies with device,"1,000,000+",Free,0,Everyone,Auto & Vehicles,Varies with device,,
AUTO_AND_VEHICLES,3.9,129,35M,"100,000+",Free,0,Everyone,Auto & Vehicles,4.1 and up,,
AUTO_AND_VEHICLES,4.3,542,33M,"100,000+",Free,0,Everyone,Auto & Vehicles,4.1 and up,,
AUTO_AND_VEHICLES,4.9,10479,33M,"100,000+",Free,0,Everyone,Auto & Vehicles,4.0 and up,,
AUTO_AND_VEHICLES,4.4,805,5.6M,"50,000+",Free,0,Everyone,Auto & Vehicles,4.4 and up,,
AUTO_AND_VEHICLES,4.2,129,54M,"100,000+",Free,0,Everyone,Auto & Vehicles,4.1 and up,,
AUTO_AND_VEHICLES,4,1403,201k,"100,000+",Free,0,Everyone,Auto & Vehicles,2.2 and up,,
AUTO_AND_VEHICLES,3.9,3971,3.6M,"100,000+",Free,0,Everyone,Auto & Vehicles,4.4 and up,,
AUTO_AND_VEHICLES,4.6,534,5.7M,"10,000+",Free,0,Everyone,Auto & Vehicles,4.0.3 and up,,
AUTO_AND_VEHICLES,4.9,7774,17M,"100,000+",Free,0,Everyone,Auto & Vehicles,4.2 and up,,
AUTO_AND_VEHICLES,4.3,38846,8.6M,"1,000,000+",Free,0,Everyone,Auto & Vehicles,4.1 and up,,
AUTO_AND_VEHICLES,4.6,2431,2.4M,"100,000+",Free,0,Everyone,Auto & Vehicles,4.0 and up,,
AUTO_AND_VEHICLES,4.9,6090,27M,"100,000+",Free,0,Everyone,Auto & Vehicles,4.2 and up,,
AUTO_AND_VEHICLES,3.9,295,2.7M,"10,000+",Free,0,Everyone,Auto & Vehicles,4.4 and up,,
AUTO_AND_VEHICLES,4,190,2.5M,"50,000+",Free,0,Everyone,Auto & Vehicles,2.3 and up,,
AUTO_AND_VEHICLES,4.3,40211,Varies with device,"5,000,000+",Free,0,Everyone,Auto & Vehicles,Varies with device,,
AUTO_AND_VEHICLES,3.9,356,Varies with device,"100,000+",Free,0,Everyone,Auto & Vehicles,Varies with device,,
AUTO_AND_VEHICLES,4.2,52530,7.0M,"5,000,000+",Free,0,Everyone,Auto & Vehicles,4.0.3 and up,,
AUTO_AND_VEHICLES,4.8,116986,35M,"5,000,000+",Free,0,Everyone,Auto & Vehicles,4.0.3 and up,,
AUTO_AND_VEHICLES,3.6,1379,16M,"500,000+",Free,0,Everyone,Auto & Vehicles,4.2 and up,,
AUTO_AND_VEHICLES,4.2,271920,16M,"10,000,000+",Free,0,Teen,Auto & Vehicles,5.0 and up,,
AUTO_AND_VEHICLES,4.8,736,Varies with device,"100,000+",Free,0,Everyone,Auto & Vehicles,2.3.3 and up,,
AUTO_AND_VEHICLES,4.8,7021,17M,"500,000+",Free,0,Everyone,Auto & Vehicles,4.0 and up,,
AUTO_AND_VEHICLES,4.6,197,3.4M,"50,000+",Free,0,Everyone,Auto & Vehicles,4.0 and up,,
AUTO_AND_VEHICLES,4.5,737,8.9M,"100,000+",Free,0,Everyone,Auto & Vehicles,4.1 and up,,
AUTO_AND_VEHICLES,4.3,3574,3.9M,"1,000,000+",Free,0,Everyone 10+,Auto & Vehicles,4.0 and up,,
AUTO_AND_VEHICLES,4.5,994,2.9M,"100,000+",Free,0,Everyone,Auto & Vehicles,4.1 and up,,
AUTO_AND_VEHICLES,4.9,197136,38M,"1,000,000+",Free,0,Everyone,Auto & Vehicles,4.1 and up,,
AUTO_AND_VEHICLES,3.9,142,32M,"50,000+",Free,0,Everyone,Auto & Vehicles,6.0 and up,,
AUTO_AND_VEHICLES,4.4,15168,37M,"1,000,000+",Free,0,Everyone,Auto & Vehicles,4.2 and up,,
AUTO_AND_VEHICLES,4,2155,15M,"500,000+",Free,0,Everyone,Auto & Vehicles,5.0 and up,,
AUTO_AND_VEHICLES,4.3,138,5.4M,"100,000+",Free,0,Everyone,Auto & Vehicles,4.0.3 and up,,
AUTO_AND_VEHICLES,3.7,5414,18M,"1,000,000+",Free,0,Everyone,Auto & Vehicles,4.4 and up,,
AUTO_AND_VEHICLES,4.4,21777,Varies with device,"1,000,000+",Free,0,Everyone,Auto & Vehicles,Varies with device,,
AUTO_AND_VEHICLES,4.3,348,38M,"100,000+",Free,0,Everyone,Auto & Vehicles,2.3 and up,,
AUTO_AND_VEHICLES,3.2,250,1.1M,"100,000+",Free,0,Everyone,Auto & Vehicles,4.0.3 and up,,
AUTO_AND_VEHICLES,4.6,13372,Varies with device,"1,000,000+",Free,0,Everyone,Auto & Vehicles,Varies with device,,
AUTO_AND_VEHICLES,4.6,7880,Varies with device,"100,000+",Free,0,Everyone,Auto & Vehicles,Varies with device,,
AUTO_AND_VEHICLES,4.5,3617,7.9M,"100,000+",Free,0,Everyone,Auto & Vehicles,4.1 and up,,
AUTO_AND_VEHICLES,3.7,4806,35M,"1,000,000+",Free,0,Everyone,Auto & Vehicles,4.0.3 and up,,
AUTO_AND_VEHICLES,4.6,65786,Varies with device,"1,000,000+",Free,0,Everyone,Auto & Vehicles,4.0.3 and up,,
AUTO_AND_VEHICLES,4.6,31433,17M,"1,000,000+",Free,0,Everyone,Auto & Vehicles,4.0.3 and up,,
AUTO_AND_VEHICLES,4.6,5097,19M,"1,000,000+",Free,0,Everyone,Auto & Vehicles,4.0.3 and up,,
AUTO_AND_VEHICLES,4,1754,14M,"500,000+",Free,0,Everyone,Auto & Vehicles,4.0 and up,,
AUTO_AND_VEHICLES,4.4,2680,2.2M,"500,000+",Free,0,Everyone,Auto & Vehicles,4.0.3 and up,,
AUTO_AND_VEHICLES,4,1288,4.5M,"100,000+",Free,0,Everyone,Auto & Vehicles,4.0 and up,,
BEAUTY,4.7,18900,17M,"500,000+",Free,0,Everyone,Beauty,5.0 and up,,
BEAUTY,4.9,49790,14M,"1,000,000+",Free,0,Everyone,Beauty,4.1 and up,,
BEAUTY,4.7,1150,9.8M,"100,000+",Free,0,Everyone,Beauty,4.1 and up,,
BEAUTY,3.9,1739,21M,"500,000+",Free,0,Everyone,Beauty,4.0.3 and up,,
BEAUTY,3.9,32090,Varies with device,"1,000,000+",Free,0,Everyone,Beauty,Varies with device,,
BEAUTY,4.2,2225,52M,"500,000+",Free,0,Everyone,Beauty,4.1 and up,,
BEAUTY,4.6,4369,14M,"100,000+",Free,0,Everyone,Beauty,4.0.3 and up,,
BEAUTY,4.3,8572,25M,"1,000,000+",Free,0,Everyone,Beauty,4.0 and up,,
BEAUTY,4.7,964,9.0M,"50,000+",Free,0,Everyone,Beauty,4.2 and up,,
BEAUTY,4.7,42050,Varies with device,"1,000,000+",Free,0,Everyone,Beauty,5.0 and up,,
BEAUTY,4.8,104,12M,"10,000+",Free,0,Everyone,Beauty,4.0.3 and up,,
BEAUTY,4.2,17934,Varies with device,"1,000,000+",Free,0,Everyone,Beauty,Varies with device,,
BEAUTY,4.3,601,35M,"100,000+",Free,0,Everyone,Beauty,4.0 and up,,
BEAUTY,4.5,36,6.7M,"10,000+",Free,0,Everyone,Beauty,4.0 and up,,
BEAUTY,4.1,187,30M,"50,000+",Free,0,Teen,Beauty,4.0.3 and up,,
BEAUTY,NaN,182,5.7M,"100,000+",Free,0,Everyone 10+,Beauty,3.0 and up,,
BEAUTY,4.2,30,2.9M,"10,000+",Free,0,Everyone,Beauty,4.0.3 and up,,
BEAUTY,4.5,134,17M,"10,000+",Free,0,Everyone,Beauty,4.0.3 and up,,
BEAUTY,4.4,74,2.9M,"10,000+",Free,0,Everyone,Beauty,4.0.3 and up,,
BEAUTY,4,113715,Varies with device,"10,000,000+",Free,0,Everyone,Beauty,Varies with device,,
BEAUTY,4.1,3595,Varies with device,"500,000+",Free,0,Everyone,Beauty,4.0 and up,,
BEAUTY,4.1,9315,2.6M,"1,000,000+",Free,0,Everyone,Beauty,4.0 and up,,
BEAUTY,4.4,75,4.2M,"50,000+",Free,0,Everyone,Beauty,4.0.3 and up,,
BEAUTY,4.6,38,7.1M,"10,000+",Free,0,Everyone,Beauty,4.0 and up,,
BEAUTY,4.5,26834,57M,"1,000,000+",Free,0,Everyone,Beauty,5.0 and up,,
BEAUTY,NaN,119,3.7M,"50,000+",Free,0,Everyone,Beauty,4.1 and up,,
BEAUTY,3.9,2277,22M,"500,000+",Free,0,Everyone,Beauty,4.0.3 and up,,
BEAUTY,4.4,2280,24M,"500,000+",Free,0,Everyone,Beauty,4.0 and up,,
BEAUTY,NaN,654,7.4M,"100,000+",Free,0,Teen,Beauty,4.1 and up,,
BEAUTY,4.6,184,21M,"10,000+",Free,0,Everyone,Beauty,4.1 and up,,
BEAUTY,3.8,9,3.4M,"5,000+",Free,0,Everyone,Beauty,4.0 and up,,
BEAUTY,NaN,77,2.9M,"10,000+",Free,0,Mature 17+,Beauty,2.3 and up,,
BEAUTY,NaN,35,3.1M,"10,000+",Free,0,Everyone 10+,Beauty,3.0 and up,,
BEAUTY,4,364,6.4M,"100,000+",Free,0,Everyone,Beauty,4.0.3 and up,,
BEAUTY,4.3,18,3.2M,"5,000+",Free,0,Everyone,Beauty,4.0.3 and up,,
BEAUTY,4.5,473,8.2M,"100,000+",Free,0,Mature 17+,Beauty,1.6 and up,,
BEAUTY,NaN,30,9.9M,"10,000+",Free,0,Mature 17+,Beauty,3.0 and up,,
BEAUTY,4.1,66,2.9M,"10,000+",Free,0,Everyone,Beauty,4.0.3 and up,,
BEAUTY,3.7,3871,23M,"1,000,000+",Free,0,Everyone,Beauty,4.0 and up,,
BEAUTY,4.7,257,4.6M,"50,000+",Free,0,Everyone,Beauty,4.0.3 and up,,
BEAUTY,4.2,62,3.1M,"10,000+",Free,0,Everyone,Beauty,4.0.3 and up,,
BOOKS_AND_REFERENCE,4.6,2914724,Varies with device,"100,000,000+",Free,0,Teen,Books & Reference,Varies with device,,
BOOKS_AND_REFERENCE,4.5,1857,4.9M,"50,000+",Free,0,Everyone,Books & Reference,4.4 and up,,
BOOKS_AND_REFERENCE,4.6,4478,9.5M,"100,000+",Free,0,Everyone 10+,Books & Reference,4.0 and up,,
BOOKS_AND_REFERENCE,4.4,577550,Varies with device,"10,000,000+",Free,0,Everyone,Books & Reference,Varies with device,,
BOOKS_AND_REFERENCE,4.2,814080,Varies with device,"100,000,000+",Free,0,Teen,Books & Reference,Varies with device,,
BOOKS_AND_REFERENCE,4.5,246315,Varies with device,"10,000,000+",Free,0,Everyone,Books & Reference,1.5 and up,,
BOOKS_AND_REFERENCE,4.5,454060,Varies with device,"10,000,000+",Free,0,Everyone,Books & Reference,Varies with device,,
BOOKS_AND_REFERENCE,4.5,155446,Varies with device,"10,000,000+",Free,0,Teen,Books & Reference,Varies with device,,
BOOKS_AND_REFERENCE,4.5,418,4.2M,"100,000+",Free,0,Everyone,Books & Reference,4.1 and up,,
BOOKS_AND_REFERENCE,4.4,22486,5.4M,"1,000,000+",Free,0,Teen,Books & Reference,4.0 and up,,
BOOKS_AND_REFERENCE,4.5,203130,Varies with device,"10,000,000+",Free,0,Everyone,Books & Reference,Varies with device,,
BOOKS_AND_REFERENCE,4.6,1435,2.8M,"500,000+",Free,0,Everyone,Books & Reference,4.0 and up,,
BOOKS_AND_REFERENCE,4.8,116507,5.0M,"1,000,000+",Free,0,Teen,Books & Reference,4.0.3 and up,,
BOOKS_AND_REFERENCE,3.9,1433233,Varies with device,"1,000,000,000+",Free,0,Teen,Books & Reference,Varies with device,,
BOOKS_AND_REFERENCE,4.6,90468,5.9M,"5,000,000+",Free,0,Everyone,Books & Reference,2.3 and up,,
BOOKS_AND_REFERENCE,4.2,860,13M,"100,000+",Free,0,Everyone,Books & Reference,4.0.3 and up,,
BOOKS_AND_REFERENCE,4.1,363934,7.1M,"10,000,000+",Free,0,Everyone,Books & Reference,4.1 and up,,
BOOKS_AND_REFERENCE,4.7,967,6.7M,"500,000+",Free,0,Everyone,Books & Reference,4.0.3 and up,,
BOOKS_AND_REFERENCE,4.2,87873,Varies with device,"10,000,000+",Free,0,Teen,Books & Reference,Varies with device,,
BOOKS_AND_REFERENCE,4.3,17506,17M,"1,000,000+",Free,0,Everyone,Books & Reference,4.1 and up,,
BOOKS_AND_REFERENCE,3.3,1862,19M,"1,000,000+",Free,0,Everyone,Books & Reference,4.1 and up,,
BOOKS_AND_REFERENCE,4.6,2084,6.7M,"500,000+",Free,0,Everyone,Books & Reference,2.3 and up,,
BOOKS_AND_REFERENCE,4.8,47303,21M,"1,000,000+",Free,0,Everyone,Books & Reference,4.1 and up,,
BOOKS_AND_REFERENCE,4.7,19080,Varies with device,"500,000+",Free,0,Everyone,Books & Reference,Varies with device,,
BOOKS_AND_REFERENCE,NaN,161,2.7M,"10,000+",Free,0,Everyone,Books & Reference,2.3 and up,,
BOOKS_AND_REFERENCE,4.1,85842,37M,"5,000,000+",Free,0,Everyone,Books & Reference,4.0 and up,,
BOOKS_AND_REFERENCE,4.6,7831,15M,"100,000+",Free,0,Teen,Books & Reference,4.0 and up,,
BOOKS_AND_REFERENCE,4.1,91615,23M,"5,000,000+",Free,0,Mature 17+,Books & Reference,4.1 and up,,
BOOKS_AND_REFERENCE,4.6,4620,19M,"500,000+",Free,0,Everyone,Books & Reference,4.0.3 and up,,
BOOKS_AND_REFERENCE,4.7,21336,23M,"1,000,000+",Free,0,Everyone,Books & Reference,3.0 and up,,
BOOKS_AND_REFERENCE,4.5,26875,73M,"500,000+",Free,0,Everyone,Books & Reference,4.0.3 and up,,
BOOKS_AND_REFERENCE,3.9,1778,4.9M,"500,000+",Free,0,Mature 17+,Books & Reference,2.1 and up,,
BOOKS_AND_REFERENCE,4.4,2709,6.8M,"1,000,000+",Free,0,Everyone,Books & Reference,4.4 and up,,
BOOKS_AND_REFERENCE,4.3,64513,Varies with device,"5,000,000+",Free,0,Everyone,Books & Reference,Varies with device,,
BOOKS_AND_REFERENCE,4.2,8342,Varies with device,"10,000,000+",Free,0,Everyone,Books & Reference,7.0 and up,,
BOOKS_AND_REFERENCE,4.5,527,2.9M,"100,000+",Free,0,Everyone,Books & Reference,4.0 and up,,
BOOKS_AND_REFERENCE,4.4,1322,3.5M,"100,000+",Free,0,Everyone,Books & Reference,4.0.3 and up,,
BOOKS_AND_REFERENCE,3.4,1680,4.0M,"100,000+",Free,0,Everyone,Books & Reference,4.0.3 and up,,
BOOKS_AND_REFERENCE,4.9,2739,21M,"50,000+",Free,0,Everyone,Books & Reference,3.0 and up,,
BOOKS_AND_REFERENCE,4.6,1065,2.3M,"500,000+",Free,0,Everyone,Books & Reference,3.0 and up,,
BOOKS_AND_REFERENCE,4.4,233757,Varies with device,"10,000,000+",Free,0,Everyone,Books & Reference,Varies with device,,
BOOKS_AND_REFERENCE,NaN,2,7.2M,"50,000+",Free,0,Everyone,Books & Reference,6.0 and up,,
BOOKS_AND_REFERENCE,4.4,8788,10M,"1,000,000+",Free,0,Everyone,Books & Reference,4.0 and up,,
BOOKS_AND_REFERENCE,4.4,51269,6.1M,"1,000,000+",Free,0,Everyone,Books & Reference,4.2 and up,,
BOOKS_AND_REFERENCE,4.4,30105,2.1M,"1,000,000+",Free,0,Everyone,Books & Reference,4.0.3 and up,,
BOOKS_AND_REFERENCE,3.5,156,42M,"500,000+",Free,0,Everyone,Books & Reference,2.2 and up,,
BOOKS_AND_REFERENCE,NaN,114,7.3M,"100,000+",Free,0,Everyone,Books & Reference,5.1 and up,,
BOOKS_AND_REFERENCE,4.4,341157,30M,"10,000,000+",Free,0,Everyone 10+,Books & Reference,4.2 and up,,
BUSINESS,4.1,16129,Varies with device,"10,000,000+",Free,0,Everyone,Business,Varies with device,,
BUSINESS,4.3,674730,Varies with device,"50,000,000+",Free,0,Everyone,Business,Varies with device,,
BUSINESS,4.4,1254730,Varies with device,"10,000,000+",Free,0,Everyone,Business,Varies with device,,
BUSINESS,4.3,85185,29M,"5,000,000+",Free,0,Everyone,Business,5.0 and up,,
BUSINESS,4.3,32584,Varies with device,"1,000,000+",Free,0,Everyone,Business,Varies with device,,
BUSINESS,4.1,217730,Varies with device,"50,000,000+",Free,0,Everyone,Business,Varies with device,,
BUSINESS,4.4,70991,Varies with device,"5,000,000+",Free,0,Everyone,Business,4.4 and up,,
BUSINESS,4.3,1002861,35M,"100,000,000+",Free,0,Everyone,Business,4.1 and up,,
BUSINESS,3.9,16589,9.1M,"1,000,000+",Free,0,Everyone,Business,4.0.3 and up,,
BUSINESS,4.8,148945,25M,"1,000,000+",Free,0,Everyone,Business,5.0 and up,,
BUSINESS,4.5,4458,3.9M,"500,000+",Free,0,Everyone,Business,4.1 and up,,
BUSINESS,4.4,62272,18M,"10,000,000+",Free,0,Everyone,Business,4.1 and up,,
BUSINESS,4,8941,12M,"5,000,000+",Free,0,Everyone,Business,4.0.3 and up,,
BUSINESS,4.3,46353,21M,"1,000,000+",Free,0,Everyone,Business,1.5 and up,,
BUSINESS,4,1279184,Varies with device,"50,000,000+",Free,0,Everyone,Business,Varies with device,,
BUSINESS,4.2,88073,Varies with device,"10,000,000+",Free,0,Everyone,Business,Varies with device,,
BUSINESS,4.5,67000,Varies with device,"1,000,000+",Free,0,Everyone,Business,4.3 and up,,
BUSINESS,4.2,159872,Varies with device,"10,000,000+",Free,0,Everyone,Business,Varies with device,,
BUSINESS,4.2,30847,55M,"5,000,000+",Free,0,Everyone,Business,4.1 and up,,
BUSINESS,4.6,188841,3.2M,"5,000,000+",Free,0,Everyone,Business,4.0 and up,,
BUSINESS,4.1,11622,Varies with device,"5,000,000+",Free,0,Everyone,Business,Varies with device,,
BUSINESS,4.6,95912,Varies with device,"5,000,000+",Free,0,Everyone,Business,Varies with device,,
BUSINESS,3.1,4034,23k,"100,000+",Free,0,Everyone,Business,2.2 and up,,
BUSINESS,3.9,45964,16M,"1,000,000+",Free,0,Everyone,Business,4.1 and up,,
BUSINESS,4.3,14955,Varies with device,"1,000,000+",Free,0,Everyone,Business,Varies with device,,
BUSINESS,4.1,6903,14M,"1,000,000+",Free,0,Everyone,Business,4.1 and up,,
BUSINESS,4.4,31614,37M,"10,000,000+",Free,0,Everyone,Business,4.0 and up,,
BUSINESS,4.1,23055,Varies with device,"5,000,000+",Free,0,Everyone,Business,Varies with device,,
BUSINESS,4.1,19023,Varies with device,"1,000,000+",Free,0,Everyone,Business,4.1 and up,,
BUSINESS,4.5,207372,11M,"5,000,000+",Free,0,Everyone,Business,4.0 and up,,
BUSINESS,4.4,1225,25M,"100,000+",Free,0,Everyone,Business,4.1 and up,,
BUSINESS,4.4,380837,7.3M,"10,000,000+",Free,0,Everyone,Business,4.2 and up,,
BUSINESS,4.3,10600,6.5M,"1,000,000+",Free,0,Everyone,Business,4.0 and up,,
BUSINESS,4.4,74359,25M,"1,000,000+",Free,0,Everyone,Business,4.0 and up,,
BUSINESS,4.6,822,3.1M,"100,000+",Free,0,Everyone,Business,4.0.3 and up,,
BUSINESS,4.2,80805,Varies with device,"5,000,000+",Free,0,Everyone,Business,4.0.3 and up,,
BUSINESS,4.4,2287,1.5M,"1,000,000+",Free,0,Everyone,Business,2.2 and up,,
BUSINESS,4.7,4162,7.5M,"100,000+",Free,0,Everyone,Business,4.0.3 and up,,
BUSINESS,3.8,14760,8.6M,"50,000,000+",Free,0,Everyone,Business,7.0 and up,,
BUSINESS,3.9,23243,Varies with device,"5,000,000+",Free,0,Everyone,Business,Varies with device,,
BUSINESS,NaN,9,1.2M,"100,000+",Free,0,Everyone,Business,6.0 and up,,
BUSINESS,4.3,8978,Varies with device,"1,000,000+",Free,0,Everyone,Business,Varies with device,,
BUSINESS,4.2,80805,Varies with device,"5,000,000+",Free,0,Everyone,Business,4.0.3 and up,,
BUSINESS,4.4,42492,Varies with device,"1,000,000+",Free,0,Everyone,Business,Varies with device,,
BUSINESS,4.7,286897,39M,"10,000,000+",Free,0,Everyone,Business,3.0 and up,,
BUSINESS,4.5,103755,14M,"10,000,000+",Free,0,Everyone,Business,4.1 and up,,
BUSINESS,4.2,46505,19M,"1,000,000+",Free,0,Everyone,Business,4.1 and up,,
BUSINESS,4.7,11442,6.8M,"100,000+",Paid,$4.99 ,Everyone,Business,4.0 and up,,
BUSINESS,4.8,10295,39M,"100,000+",Paid,$4.99 ,Everyone,Business,3.0 and up,,
BUSINESS,4.2,159872,Varies with device,"10,000,000+",Free,0,Everyone,Business,Varies with device,,
BUSINESS,4.2,296,14M,"50,000+",Free,0,Everyone,Business,4.1 and up,,
BUSINESS,4.3,29313,20M,"5,000,000+",Free,0,Everyone,Business,4.0.3 and up,,
BUSINESS,4.4,70991,Varies with device,"5,000,000+",Free,0,Everyone,Business,4.4 and up,,
BUSINESS,4.4,51507,Varies with device,"5,000,000+",Free,0,Everyone,Business,Varies with device,,
BUSINESS,4.1,1802,26M,"100,000+",Free,0,Everyone,Business,4.2 and up,,
BUSINESS,3.8,1383,51M,"100,000+",Free,0,Everyone,Business,5.0 and up,,
BUSINESS,4.3,23175,41M,"1,000,000+",Free,0,Everyone,Business,4.1 and up,,
BUSINESS,3.8,5868,20M,"500,000+",Free,0,Everyone,Business,4.1 and up,,
BUSINESS,3.5,2111,Varies with device,"100,000+",Free,0,Everyone,Business,Varies with device,,
BUSINESS,4.1,5448,12M,"500,000+",Free,0,Everyone,Business,5.0 and up,,
BUSINESS,4.6,4159,48M,"500,000+",Free,0,Everyone,Business,4.0.3 and up,,
BUSINESS,4.3,20815,10M,"1,000,000+",Free,0,Everyone,Business,5.0 and up,,
BUSINESS,4.5,78662,22M,"1,000,000+",Free,0,Everyone,Business,4.4 and up,,
BUSINESS,4.1,7149,11M,"1,000,000+",Free,0,Everyone,Business,4.0 and up,,
BUSINESS,4.5,3079,8.5M,"100,000+",Free,0,Everyone,Business,4.1 and up,,
BUSINESS,4.6,5800,8.6M,"100,000+",Free,0,Everyone,Business,4.1 and up,,
BUSINESS,4,6989,Varies with device,"1,000,000+",Free,0,Everyone,Business,4.4 and up,,
