Category,Rating,Reviews,Size,Type,Installs
ART_AND_DESIGN,4.1To5.0,100Kto499K,VariesWithDevice,Free,10MTo49M
ART_AND_DESIGN,3.1To4.0,0To9.9K,VariesWithDevice,Free,100KTo0.9M
ART_AND_DESIGN,4.1To5.0,0To9.9K,1MTo25M,Free,0To100K
ART_AND_DESIGN,4.1To5.0,100Kto499K,MoreLessThan1M,Free,10MTo49M
ART_AND_DESIGN,4.1To5.0,0To9.9K,MoreLessThan1M,Free,100KTo0.9M
ART_AND_DESIGN,4.1To5.0,0To9.9K,1MTo25M,Free,100KTo0.9M
ART_AND_DESIGN,4.1To5.0,0To9.9K,1MTo25M,Free,100KTo0.9M
AUTO_AND_VEHICLES,4.1To5.0,0To9.9K,MoreLessThan1M,Free,100KTo0.9M
AUTO_AND_VEHICLES,3.1To4.0,0To9.9K,MoreThan50M,Free,1MTo9.9M
AUTO_AND_VEHICLES,3.1To4.0,0To9.9K,MoreThan50M,Free,100KTo0.9M
AUTO_AND_VEHICLES,4.1To5.0,10KTo49K,VariesWithDevice,Free,1MTo9.9M
AUTO_AND_VEHICLES,3.1To4.0,0To9.9K,25.1To50M,Free,100KTo0.9M
AUTO_AND_VEHICLES,4.1To5.0,0To9.9K,25.1To50M,Free,100KTo0.9M
AUTO_AND_VEHICLES,4.1To5.0,10KTo49K,25.1To50M,Free,100KTo0.9M
AUTO_AND_VEHICLES,4.1To5.0,0To9.9K,1MTo25M,Free,0To100K
AUTO_AND_VEHICLES,4.1To5.0,0To9.9K,MoreThan50M,Free,100KTo0.9M
AUTO_AND_VEHICLES,3.1To4.0,0To9.9K,MoreLessThan1M,Free,100KTo0.9M
AUTO_AND_VEHICLES,3.1To4.0,0To9.9K,1MTo25M,Free,100KTo0.9M
AUTO_AND_VEHICLES,4.1To5.0,0To9.9K,1MTo25M,Free,0To100K
AUTO_AND_VEHICLES,4.1To5.0,0To9.9K,1MTo25M,Free,100KTo0.9M
AUTO_AND_VEHICLES,4.1To5.0,10KTo49K,1MTo25M,Free,1MTo9.9M
AUTO_AND_VEHICLES,4.1To5.0,0To9.9K,VariesWithDevice,Free,100KTo0.9M
AUTO_AND_VEHICLES,4.1To5.0,0To9.9K,MoreLessThan1M,Free,100KTo0.9M
AUTO_AND_VEHICLES,3.1To4.0,0To9.9K,VariesWithDevice,Free,0To100K
AUTO_AND_VEHICLES,3.1To4.0,0To9.9K,VariesWithDevice,Free,0To100K
AUTO_AND_VEHICLES,4.1To5.0,10KTo49K,VariesWithDevice,Free,1MTo9.9M
AUTO_AND_VEHICLES,3.1To4.0,0To9.9K,VariesWithDevice,Free,100KTo0.9M
AUTO_AND_VEHICLES,4.1To5.0,50KTo99K,1MTo25M,Free,1MTo9.9M
AUTO_AND_VEHICLES,4.1To5.0,100Kto499K,25.1To50M,Free,1MTo9.9M
AUTO_AND_VEHICLES,3.1To4.0,0To9.9K,1MTo25M,Free,100KTo0.9M
AUTO_AND_VEHICLES,4.1To5.0,100Kto499K,1MTo25M,Free,10MTo49M
AUTO_AND_VEHICLES,4.1To5.0,0To9.9K,VariesWithDevice,Free,100KTo0.9M
AUTO_AND_VEHICLES,4.1To5.0,0To9.9K,1MTo25M,Free,100KTo0.9M
AUTO_AND_VEHICLES,4.1To5.0,0To9.9K,1MTo25M,Free,0To100K
AUTO_AND_VEHICLES,4.1To5.0,0To9.9K,1MTo25M,Free,100KTo0.9M
AUTO_AND_VEHICLES,4.1To5.0,0To9.9K,1MTo25M,Free,1MTo9.9M
AUTO_AND_VEHICLES,4.1To5.0,0To9.9K,VariesWithDevice,Free,100KTo0.9M
AUTO_AND_VEHICLES,4.1To5.0,100Kto499K,25.1To50M,Free,1MTo9.9M
AUTO_AND_VEHICLES,3.1To4.0,0To9.9K,1MTo25M,Free,0To100K
AUTO_AND_VEHICLES,4.1To5.0,10KTo49K,25.1To50M,Free,1MTo9.9M
AUTO_AND_VEHICLES,3.1To4.0,0To9.9K,1MTo25M,Free,100KTo0.9M
AUTO_AND_VEHICLES,4.1To5.0,0To9.9K,1MTo25M,Free,100KTo0.9M
AUTO_AND_VEHICLES,3.1To4.0,0To9.9K,1MTo25M,Free,1MTo9.9M
AUTO_AND_VEHICLES,4.1To5.0,10KTo49K,VariesWithDevice,Free,1MTo9.9M
AUTO_AND_VEHICLES,4.1To5.0,0To9.9K,25.1To50M,Free,100KTo0.9M
AUTO_AND_VEHICLES,3.1To4.0,0To9.9K,1MTo25M,Free,100KTo0.9M
AUTO_AND_VEHICLES,4.1To5.0,10KTo49K,VariesWithDevice,Free,1MTo9.9M
AUTO_AND_VEHICLES,4.1To5.0,0To9.9K,VariesWithDevice,Free,100KTo0.9M
AUTO_AND_VEHICLES,4.1To5.0,0To9.9K,1MTo25M,Free,100KTo0.9M
AUTO_AND_VEHICLES,3.1To4.0,0To9.9K,25.1To50M,Free,1MTo9.9M
AUTO_AND_VEHICLES,4.1To5.0,50KTo99K,VariesWithDevice,Free,1MTo9.9M
AUTO_AND_VEHICLES,4.1To5.0,10KTo49K,1MTo25M,Free,1MTo9.9M
AUTO_AND_VEHICLES,4.1To5.0,0To9.9K,1MTo25M,Free,1MTo9.9M
AUTO_AND_VEHICLES,3.1To4.0,0To9.9K,1MTo25M,Free,100KTo0.9M
AUTO_AND_VEHICLES,4.1To5.0,0To9.9K,VariesWithDevice,Free,100KTo0.9M
AUTO_AND_VEHICLES,3.1To4.0,0To9.9K,1MTo25M,Free,100KTo0.9M
BEAUTY,4.1To5.0,10KTo49K,1MTo25M,Free,100KTo0.9M
BEAUTY,4.1To5.0,10KTo49K,1MTo25M,Free,1MTo9.9M
BEAUTY,4.1To5.0,0To9.9K,1MTo25M,Free,100KTo0.9M
BEAUTY,3.1To4.0,0To9.9K,MoreLessThan1M,Free,100KTo0.9M
BEAUTY,3.1To4.0,10KTo49K,VariesWithDevice,Free,1MTo9.9M
BEAUTY,4.1To5.0,0To9.9K,1MTo25M,Free,100KTo0.9M
BEAUTY,4.1To5.0,0To9.9K,1MTo25M,Free,100KTo0.9M
BEAUTY,4.1To5.0,0To9.9K,MoreLessThan1M,Free,1MTo9.9M
BEAUTY,4.1To5.0,0To9.9K,1MTo25M,Free,0To100K
BEAUTY,4.1To5.0,10KTo49K,VariesWithDevice,Free,1MTo9.9M
BEAUTY,4.1To5.0,0To9.9K,1MTo25M,Free,0To100K
BEAUTY,4.1To5.0,10KTo49K,VariesWithDevice,Free,1MTo9.9M
BEAUTY,4.1To5.0,0To9.9K,25.1To50M,Free,100KTo0.9M
BEAUTY,4.1To5.0,0To9.9K,1MTo25M,Free,0To100K
BEAUTY,4.1To5.0,0To9.9K,25.1To50M,Free,0To100K
BEAUTY,NaN,0To9.9K,1MTo25M,Free,100KTo0.9M
BEAUTY,4.1To5.0,0To9.9K,VariesWithDevice,Free,0To100K
BEAUTY,4.1To5.0,0To9.9K,1MTo25M,Free,0To100K
BEAUTY,4.1To5.0,0To9.9K,VariesWithDevice,Free,0To100K
BEAUTY,3.1To4.0,100Kto499K,VariesWithDevice,Free,10MTo49M
BEAUTY,4.1To5.0,0To9.9K,VariesWithDevice,Free,100KTo0.9M
BEAUTY,4.1To5.0,0To9.9K,VariesWithDevice,Free,1MTo9.9M
BEAUTY,4.1To5.0,0To9.9K,VariesWithDevice,Free,0To100K
BEAUTY,4.1To5.0,0To9.9K,1MTo25M,Free,0To100K
BOOKS_AND_REFERENCE,4.1To5.0,100Kto499K,VariesWithDevice,Free,10MTo49M
BOOKS_AND_REFERENCE,NaN,0To9.9K,VariesWithDevice,Free,0To100K
BOOKS_AND_REFERENCE,4.1To5.0,0To9.9K,1MTo25M,Free,1MTo9.9M
BOOKS_AND_REFERENCE,4.1To5.0,50KTo99K,1MTo25M,Free,1MTo9.9M
BOOKS_AND_REFERENCE,4.1To5.0,10KTo49K,VariesWithDevice,Free,1MTo9.9M
BOOKS_AND_REFERENCE,3.1To4.0,0To9.9K,1MTo25M,Free,100KTo0.9M
BOOKS_AND_REFERENCE,NaN,0To9.9K,1MTo25M,Free,100KTo0.9M
BOOKS_AND_REFERENCE,4.1To5.0,100Kto499K,25.1To50M,Free,10MTo49M
BUSINESS,4.1To5.0,10KTo49K,VariesWithDevice,Free,10MTo49M
BUSINESS,4.1To5.0,50KTo99K,VariesWithDevice,Free,1MTo9.9M
BUSINESS,4.1To5.0,0To9.9K,MoreLessThan1M,Free,0To100K
BUSINESS,4.1To5.0,10KTo49K,25.1To50M,Free,1MTo9.9M
COMICS,4.1To5.0,1MTo9.9M,VariesWithDevice,Free,10MTo49M
COMICS,4.1To5.0,10KTo49K,1MTo25M,Free,100KTo0.9M
COMICS,4.1To5.0,50KTo99K,MoreLessThan1M,Free,1MTo9.9M
COMICS,4.1To5.0,0To9.9K,1MTo25M,Free,100KTo0.9M
COMICS,4.1To5.0,0To9.9K,1MTo25M,Free,0To100K
COMICS,3.1To4.0,0To9.9K,1MTo25M,Free,0To100K
COMICS,4.1To5.0,0To9.9K,1MTo25M,Free,0To100K
COMICS,4.1To5.0,100Kto499K,MoreLessThan1M,Free,1MTo9.9M
COMICS,4.1To5.0,0To9.9K,VariesWithDevice,Free,0To100K
COMICS,4.1To5.0,0To9.9K,1MTo25M,Free,0To100K
COMICS,4.1To5.0,0To9.9K,1MTo25M,Free,0To100K
COMMUNICATION,4.1To5.0,100Kto499K,MoreLessThan1M,Free,1MTo9.9M
COMMUNICATION,4.1To5.0,100Kto499K,VariesWithDevice,Free,10MTo49M
COMMUNICATION,4.1To5.0,100Kto499K,VariesWithDevice,Free,10MTo49M
COMMUNICATION,4.1To5.0,MoreThan10M,VariesWithDevice,Free,MoreThan500M
COMMUNICATION,4.1To5.0,1MTo9.9M,VariesWithDevice,Free,100MTo499M
DATING,4.1To5.0,0To9.9K,VariesWithDevice,Paid,0To100K
DATING,2.0To3.0,0To9.9K,VariesWithDevice,Paid,0To100K
DATING,NaN,NoReview,MoreLessThan1M,Paid,0To100K
DATING,NaN,NoReview,MoreLessThan1M,Paid,0To100K
DATING,NaN,0To9.9K,VariesWithDevice,Paid,0To100K
DATING,3.1To4.0,0To9.9K,1MTo25M,Paid,0To100K
DATING,3.1To4.0,500KTo0.9M,VariesWithDevice,Free,10MTo49M
DATING,4.1To5.0,100Kto499K,1MTo25M,Free,10MTo49M
DATING,3.1To4.0,50KTo99K,VariesWithDevice,Free,10MTo49M
DATING,4.1To5.0,0To9.9K,MoreThan50M,Free,100KTo0.9M
DATING,4.1To5.0,0To9.9K,1MTo25M,Free,100KTo0.9M
DATING,4.1To5.0,50KTo99K,1MTo25M,Free,1MTo9.9M
DATING,4.1To5.0,10KTo49K,MoreLessThan1M,Free,1MTo9.9M
DATING,4.1To5.0,100Kto499K,VariesWithDevice,Free,10MTo49M
DATING,3.1To4.0,10KTo49K,25.1To50M,Free,1MTo9.9M
DATING,4.1To5.0,100Kto499K,VariesWithDevice,Free,10MTo49M
DATING,3.1To4.0,10KTo49K,MoreThan50M,Free,1MTo9.9M
DATING,4.1To5.0,100Kto499K,1MTo25M,Free,1MTo9.9M
DATING,4.1To5.0,0To9.9K,MoreLessThan1M,Free,100KTo0.9M
DATING,4.1To5.0,10KTo49K,MoreLessThan1M,Free,100KTo0.9M
DATING,3.1To4.0,10KTo49K,1MTo25M,Free,1MTo9.9M
DATING,4.1To5.0,10KTo49K,25.1To50M,Free,1MTo9.9M
DATING,4.1To5.0,0To9.9K,MoreLessThan1M,Free,0To100K
DATING,3.1To4.0,10KTo49K,1MTo25M,Free,1MTo9.9M
DATING,3.1To4.0,10KTo49K,VariesWithDevice,Free,1MTo9.9M
